"Date","Close Price"
2010-04-13,"       2781.90"
2010-04-15,"       2801.60"
2010-04-16,"       2788.60"
2010-04-19,"       2751.90"
2010-04-20,"       2727.30"
2010-04-21,"       2712.45"
2010-04-22,"       2718.40"
2010-04-23,"       2726.95"
2010-04-26,"       2738.95"
2010-04-27,"       2737.45"
2010-04-28,"       2699.50"
2010-04-29,"       2709.15"
2010-04-30,"       2738.15"
2010-05-03,"       2694.90"
2010-05-04,"       2666.15"
2010-05-05,"       2693.00"
2010-05-06,"       2658.15"
2010-05-07,"       2616.85"
2010-05-10,"       2675.70"
2010-05-11,"       2660.75"
2010-05-12,"       2681.70"
2010-05-13,"       2706.15"
2010-05-14,"       2651.90"
2010-05-17,"       2616.35"
2010-05-18,"       2629.20"
2010-05-19,"       2602.85"
2010-05-20,"       2600.75"
2010-05-21,"       2581.75"
2010-05-24,"       2600.40"
2010-05-25,"       2533.40"
2010-05-26,"       2621.05"
2010-05-27,"       2643.35"
2010-05-28,"       2677.45"
2010-05-31,"       2658.00"
2010-06-01,"       2624.35"
2010-06-02,"       2640.25"
2010-06-03,"       2698.00"
2010-06-04,"       2728.95"
2010-06-07,"       2671.65"
2010-06-08,"       2654.50"
2010-06-09,"       2624.95"
2010-06-10,"       2645.55"
2010-06-11,"       2630.75"
2010-06-14,"       2746.40"
2010-06-15,"       2734.70"
2010-06-16,"       2769.40"
2010-06-17,"       2764.85"
2010-06-18,"       2786.20"
2010-06-21,"       2800.80"
2010-06-22,"       2767.10"
2010-06-23,"       2797.75"
2010-06-24,"       2822.70"
2010-06-25,"       2777.70"
2010-06-28,"       2809.00"
2010-06-29,"       2793.55"
2010-06-30,"       2791.00"
2010-07-01,"       2767.05"
2010-07-02,"       2727.50"
2010-07-05,"       2743.45"
2010-07-06,"       2785.10"
2010-07-07,"       2781.75"
2010-07-08,"       2828.50"
2010-07-09,"       2873.80"
2010-07-12,"       2895.90"
2010-07-13,"       2796.75"
2010-07-14,"       2742.90"
2010-07-15,"       2759.60"
2010-07-16,"       2777.00"
2010-07-19,"       2770.45"
2010-07-20,"       2759.65"
2010-07-21,"       2771.65"
2010-07-22,"       2754.50"
2010-07-23,"       2786.45"
2010-07-26,"       2804.45"
2010-07-27,"       2828.80"
2010-07-28,"       2832.10"
2010-07-29,"       2833.15"
2010-07-30,"       2788.40"
2010-08-02,"       2796.95"
2010-08-03,"       2784.30"
2010-08-04,"       2874.50"
2010-08-05,"       2869.25"
2010-08-06,"       2863.80"
2010-08-09,"       2874.65"
2010-08-10,"       2829.05"
2010-08-11,"       2810.90"
2010-08-12,"       2772.70"
2010-08-13,"       2777.25"
2010-08-16,"       2761.90"
2010-08-17,"       2750.50"
2010-08-18,"       2807.25"
2010-08-19,"       2804.60"
2010-08-20,"       2769.60"
2010-08-23,"       2803.15"
2010-08-24,"       2765.25"
2010-08-25,"       2770.90"
2010-08-26,"       2765.65"
2010-08-27,"       2709.90"
2010-08-30,"       2700.45"
2010-08-31,"       2713.85"
2010-09-01,"       2776.15"
2010-09-02,"       2753.00"
2010-09-03,"       2777.45"
2010-09-06,"       2831.65"
2010-09-07,"       2864.95"
2010-09-08,"       2879.40"
2010-09-09,"       2895.00"
2010-09-13,"       2936.90"
2010-09-14,"       2975.60"
2010-09-15,"       3052.85"
2010-09-16,"       2965.95"
2010-09-17,"       2970.15"
2010-09-20,"       3008.60"
2010-09-21,"       3059.15"
2010-09-22,"       3014.30"
2010-09-23,"       3022.90"
2010-09-24,"       3049.10"
2010-09-27,"       3032.60"
2010-09-28,"       3016.60"
2010-09-29,"       3031.05"
2010-09-30,"       3050.50"
2010-10-01,"       3102.15"
2010-10-04,"       3078.45"
2010-10-05,"       3084.70"
2010-10-06,"       3103.80"
2010-10-07,"       3053.45"
2010-10-08,"       3076.30"
